,subred,title,text
0,todayilearned,"TIL in 1952, a nuclear reactor in Canada had a partial meltdown. American and Canadian service personnel disassembled the reactor a few minutes at a time to limit radioactive exposure. Jimmy Carter was one of the Americans. His experience led him to cease development of the neutron bomb as POTUS.",
1,todayilearned,"TIL that in 1986, when a murdered woman was found by her husband in their LA apartment, the LAPD considered the case a botched burglary. The woman’s father said that an old lover of his daughter’s husband-an LA cop, was the murderer. He was proven right by a DNA match over 20 years later.",
2,todayilearned,"TIL Chris Columbus once successfully intimidated Jamaican locals by correctly predicting a total lunar eclipse. He said that if they stopped providing for him and his crew, God would get angry and make the moon disappear. When the eclipse actually occurred, they begged for God's forgiveness.",
3,todayilearned,"TIL that the Mexican government sent around 500 of it's elite soldiers to be trained as commandos at Ft. Bragg(USA), in order to better combat the rising drug violence in the country. After training, many of the soldiers returned to Mexico, only to start the brutally violent drug cartel: Los Zetas.",
4,todayilearned,"TIL Przewalski's Horses once thought to be the only true wild Horses never to be domesticated, are actually descended from domesticated Horses that were feralized thousands of years ago",
5,todayilearned,"TIL Daniel Kish is a blind man who taught himself to navigate by echolocation (like bats) by making swift clicking sounds that reflected from objects around him. Using these reflected sounds, he makes a mental image of his surroundings. He now trains others to 'see' the world like he does.",
6,todayilearned,"TIL there are still people that speak Aramaic, or the language actually spoken by Jesus Christ, about 500,000 speakers are left worldwide.",
7,todayilearned,"TIL about Elizabeth Sugrue, Irelands only female executioner. Sentenced to death, she volunteered to hang the other prisoners in exchange for her life, as the local hangman was ill on that day. Her offer was accepted, and she was kept for the job.",
8,todayilearned,"TIL Michael Caine legally changed his name because he got sick of airport security delays caused by his passport bearing his birth name, Maurice Micklewhite. It took him until he was 83 years old to get wound up enough.",
9,todayilearned,"TIL the Weird Al Yankovic song, ""I lost on Jeopardy!"" predates the reboot of the show with Alex Trebek as host; the song was released in 1983 and the show returned in '84. According to Yankovic, many had said the song's popularity caused Merv Griffin to revive the show.",
10,todayilearned,"TIL a Russian eagle named ""Min"" &amp; 3 other eagles being tracked by scientists unexpectedly flew into Iran/Pakistan; the birds racked up so many out-of-network data roaming charges on SMS text transmitters that scientists had to take out a loan &amp; ask for help on social media to pay off the phone bill.",
11,todayilearned,TIL there's a river basin in Venezuela that gets struck by lightening over 200 times per hour for up to 10 hrs straight. It occurs more than 100 times a year and is predictable up to a few months in advanced.,
12,todayilearned,"TIL that Bill Gates' mother, Mary, knew John Opel, CEO of IBM, because both served on the national United Way committee. At Mary's request, Opel set up a meeting with Bill Gates, CEO of then-small software firm Microsoft, to discuss the possibility of using PC-DOS for IBM's about-to-be-released PC.",
13,todayilearned,"TIL that Lego bricks helped solve a twenty-three year old cold case murder in 2014. The murderer allowed his child to play with the bricks in another room while murdering his victim, and fingerprints on a brick that was left behind allowed the police to connect the dots to the killer.",
14,todayilearned,"TIL that during Prohibition in the US, moonshiners would wear ""cow shoes."" The fancy footwear left hoofprints instead of footprints, helping distillers and smugglers evade police.",
15,todayilearned,"TIL Grizzly Bears are strong enough to smack a human's head off, crushing crushing a bowling ball with their jaws, and running 35 mph",
16,todayilearned,"TIL Salvador Dali once conned Yoko Ono out of $10,000 by sending her a piece of dried grass instead of a hair from his moustache",
17,todayilearned,"TIL Pyramids were actually built by paid workers, rather than the slaves",
